7.732566140000000132e+02,9.869146000000000640e+00,6.581206039999999575e+02,8.474700000000000288e-02,8.865309999999999580e-01,-4.190900000000000181e-02
7.732487300000000232e+02,9.877706999999999127e+00,6.579001710000000003e+02,8.471399999999999764e-02,8.869690000000000074e-01,-4.197499999999999842e-02
7.732413269999999557e+02,9.881361999999999313e+00,6.576867549999999483e+02,8.465999999999999914e-02,8.873929999999999874e-01,-4.205600000000000310e-02
7.732331880000000410e+02,9.883077000000000112e+00,6.574471929999999702e+02,8.458599999999999453e-02,8.878690000000000193e-01,-4.215499999999999803e-02
7.732226450000000568e+02,9.884366999999999237e+00,6.571805040000000417e+02,8.450100000000000666e-02,8.883999999999999675e-01,-4.226699999999999902e-02
7.732103019999999560e+02,9.878928000000000154e+00,6.569502880000000005e+02,8.439699999999999980e-02,8.888650000000000162e-01,-4.238600000000000007e-02
7.732001000000000204e+02,9.870419000000000054e+00,6.566970639999999548e+02,8.427199999999999969e-02,8.893710000000000226e-01,-4.252299999999999830e-02
7.731820689999999558e+02,9.852299999999999613e+00,6.562311760000000049e+02,8.403299999999999659e-02,8.902999999999999803e-01,-4.277899999999999758e-02
7.731664819999999736e+02,9.838647999999999172e+00,6.559941330000000335e+02,8.389099999999999335e-02,8.907829999999999915e-01,-4.292800000000000088e-02
7.731387190000000373e+02,9.810643000000000669e+00,6.556942060000000083e+02,8.366600000000000426e-02,8.914029999999999454e-01,-4.315100000000000185e-02
7.731051780000000235e+02,9.778765999999999181e+00,6.554335999999999558e+02,8.345500000000000140e-02,8.919359999999999511e-01,-4.335599999999999871e-02
7.730635670000000346e+02,9.753346000000000515e+00,6.552269240000000536e+02,8.328499999999999792e-02,8.923219999999999485e-01,-4.352600000000000219e-02
7.730223389999999881e+02,9.739470999999999989e+00,6.551001909999999953e+02,8.316800000000000581e-02,8.925400000000000000e-01,-4.365000000000000130e-02
7.729902809999999818e+02,9.721543999999999741e+00,6.549807080000000497e+02,8.304400000000000670e-02,8.927519999999999900e-01,-4.377400000000000041e-02
7.729639429999999720e+02,9.711494000000000071e+00,6.548872549999999819e+02,8.294200000000000184e-02,8.929310000000000302e-01,-4.388100000000000334e-02
